Project,Repo,Project license,Repo License,Sourcerank
Rubygems/dictuby,https://github.com/reneklacan/dictuby,MIT,Apache-2.0,7
Rubygems/ace_redlock,https://github.com/outstand/redlock-rb,MIT,BSD-2-Clause,7
Rubygems/html2json,https://github.com/anoopmail/html2json,MIT,GPL-2.0,7
Rubygems/haconiwa,https://github.com/haconiwa/haconiwa-mri,MIT,GPL-3.0,7
Rubygems/htmless,https://github.com/pitr-ch/htmless,MIT,LGPL-2.1,7
Rubygems/rooftop-rails,https://github.com/rooftopcms/rooftop-rails,MIT,GPL-3.0,7
Rubygems/asrake,https://github.com/nexussays/ASRake,MIT,BSD-3-Clause,7
Rubygems/vx-lib-shell,https://github.com/vexor/vx-lib-shell,MIT,GPL-2.0,7
Rubygems/all_sorts,https://github.com/philspitler/allsorts,MIT,BSD-3-Clause,7
Rubygems/hello_bdmade,https://github.com/BDMADE/hello_bdmade,MIT,GPL-3.0,7
Rubygems/toxiclibs,https://github.com/ruby-processing/toxicgem,"MIT,LGPL-3.0",GPL-3.0,7
Rubygems/opstack,https://github.com/OpSitters/opstack,"MIT,GPL-2.0",GPL-2.0,7
Rubygems/nilal,https://github.com/paramadeep/nilal,MIT,Apache-2.0,7
Rubygems/inistyle,https://github.com/GeoffWilliams/inistyle,MIT,Apache-2.0,7
Rubygems/knife-instance,https://github.com/ZestFinance/knife-instance,MIT,Apache-2.0,7
Rubygems/lab42_state_machine,https://github.com/RobertDober/lab42_state_machine,MIT,Apache-2.0,7
Rubygems/corenlp,https://github.com/lengio/corenlp,MIT,GPL-2.0,7
Rubygems/csv-diff,https://github.com/agardiner/csv-diff,MIT,BSD-2-Clause,7
Rubygems/dacpclient,https://github.com/jurriaan/ruby-dacpclient,MIT,BSD-3-Clause,7
Rubygems/lockistics,https://github.com/kke/lockistics,MIT,Unlicense,7
Rubygems/mutations_caller_pipeline_aws,https://github.com/khayer/mutations_caller_pipeline_aws,"MIT,GPL-2.0",GPL-2.0,7
Rubygems/riemann-aws-dynamodb,https://github.com/krakatoa/riemann-aws-dynamodb,MIT,GPL-2.0,7
Rubygems/fluent-plugin-es-mohit,https://github.com/mohit-soral/fluent-plugin-elasticsearch,MIT,Apache-2.0,7
Rubygems/embedrb,https://github.com/liris/embedrb,MIT,LGPL-2.1,7
Rubygems/rails-presenter,https://github.com/mathieujobin/rails-presenter,"GPL-3.0,MIT",GPL-3.0,7
Rubygems/blind,https://github.com/frodsan/blind,MIT,Unlicense,7
Rubygems/pincushion,https://github.com/bjmllr/pincushion,MIT,GPL-3.0,7
Rubygems/cal-ios-image-proc,https://github.com/ark-konopacki/calabash-ios-image-proc,MIT,EPL-1.0,7
Rubygems/sinatra-webfinger,https://github.com/konklone/sinatra-webfinger,MIT,BSD-3-Clause,7
Rubygems/Fresh-Proxy,https://github.com/JotaSe/fresh_proxy,MIT,GPL-3.0,7
Rubygems/opentie-core,https://github.com/opentie/opentie-core,MIT,LGPL-3.0,7
Rubygems/outpace_cli,https://github.com/outpace/outpace_cli,MIT,GPL-3.0+,7
Rubygems/ruby-dita,https://github.com/ruby-dita/ruby-dita,MIT,GPL-3.0,7
Rubygems/flintlock,https://github.com/jcmcken/flintlock,MIT,BSD-3-Clause,7
Rubygems/spree_cpf,https://github.com/tiagoamaro/spree_cpf,MIT,BSD-3-Clause,7
Rubygems/webgen-content_processor_emoticon-bundle,https://github.com/gettalong/webgen-content_processor_emoticon-bundle,MIT,GPL-2.0,7
Rubygems/br_inscricao_estadual,https://github.com/Pull4up/br_inscricao_estadual,MIT,GPL-3.0,7
Rubygems/salama-arm,https://github.com/ruby-x/rubyx-arm,MIT,GPL-2.0,7
Rubygems/release_me,https://github.com/nwops/release_me,MIT,Apache-2.0,7
Rubygems/snipgem,https://github.com/jgerminario/snip,MIT,GPL-2.0,7
Rubygems/vagrant-environments,https://github.com/goruha/vagrant-environments,MIT,GPL-3.0,7
Rubygems/octohat,https://github.com/LABHR/octohatrack-rb,MIT,BSD-3-Clause,7
Rubygems/moiscot-coffee,https://github.com/moi-solutions/moiScot-coffee,MIT,Apache-2.0,7
Rubygems/rankum,https://github.com/besson/rankum,MIT,Apache-2.0,7
Rubygems/gophr,https://github.com/palin/gophr,MIT,GPL-3.0,7
Rubygems/penman,https://github.com/uken/penman,MIT,Apache-2.0,7
Rubygems/construi,https://github.com/lstephen/construi,MIT,Apache-2.0,7
Rubygems/spree_unified_payment,https://github.com/vinsol-spree-contrib/Spree-Unified-Payments,MIT,BSD-3-Clause,7
Rubygems/bipbop-client,https://github.com/OTATA/bipbop-ruby,MIT,GPL-2.0,7
Rubygems/populus,https://github.com/udzura/populus,MIT,Apache-2.0,7
Rubygems/sdee,https://github.com/elbii/ruby-sdee,MIT,GPL-2.0,7
Rubygems/accessitude,https://github.com/mguymon/accessitude,MIT,Apache-2.0,7
Rubygems/rand-rspec,https://github.com/purbon/rand-rspec,MIT,Apache-2.0,7
Rubygems/iode,https://github.com/d11wtq/iode-rb,MIT,Apache-2.0,7
Rubygems/filestack,https://github.com/filestack/filestack-ruby,MIT,Apache-2.0,7
Rubygems/raph,https://github.com/veelenga/raph,MIT,Apache-2.0,7
Rubygems/spree_mercado_pago_payment_method,https://github.com/manuca/Spree-Mercado-Pago-payment-method,MIT,BSD-3-Clause,7
Rubygems/capistrano-consul_kv_lock,https://github.com/udzura/capistrano-consul_kv_lock,MIT,Apache-2.0,7
Rubygems/grenache-ruby-http,https://github.com/bitfinexcom/grenache-ruby-http,MIT,Apache-2.0,7
Rubygems/status_cake,https://github.com/coupacooke/status_cake,MIT,Apache-2.0,7
Rubygems/fde-file_crawler,https://github.com/fashion-data-exchange/file_crawler,MIT,Apache-2.0,7
Rubygems/bio-publisci,https://github.com/wstrinz/publisci,MIT,BSD-2-Clause,7
Rubygems/cenit-collection-foo,https://github.com/sanchojaf/cenit-collection-foo,MIT,BSD-3-Clause,7
Rubygems/swissmedic-diff,https://github.com/zdavatz/swissmedic-diff,MIT,GPL-2.0,7
Rubygems/featureflow,https://github.com/featureflow/featureflow-ruby-sdk,MIT,Apache-2.0,7
Rubygems/fde-s3_client,https://github.com/fashion-data-exchange/s3_client,MIT,Apache-2.0,7
Rubygems/fddb,https://github.com/webpapaya/fddb,MIT,Apache-2.0,7
Rubygems/architecture-js,https://github.com/daytonn/architecture-js,MIT,Apache-2.0,7
Rubygems/cta_aggregator_client,https://github.com/RagtagOpen/cta-aggregator-client-ruby,MIT,GPL-3.0,7
Rubygems/kopflos,https://github.com/niklas/kopflos,MIT,GPL-3.0,7
Rubygems/ces,https://gitlab.com/Punknoodles/ruby-ces,MIT,BSD-3-Clause,7
Rubygems/rar,https://github.com/mkroman/rar,MIT,ISC,7
Rubygems/samanage,https://github.com/cw2908/samanage-ruby,MIT,GPL-3.0,7
Rubygems/cellect,https://github.com/zooniverse/Cellect,MIT,Apache-2.0,7
Rubygems/honeycomb-rails,https://github.com/honeycombio/honeycomb-rails,MIT,Apache-2.0,7
Rubygems/arduino-lights,https://github.com/craftcodiness/arduino-lights,MIT,GPL-3.0,7
Rubygems/foggle,https://github.com/macklinu/foggle,MIT,Apache-2.0,7
Rubygems/proxyprotocol,https://github.com/omarkj/proxyprotocol,MIT,BSD-3-Clause,7
Rubygems/teamworkpm,https://github.com/ready4god2513/teamwork,MIT,Unlicense,7
Rubygems/x25519,https://github.com/cryptosphere/x25519,MIT,LGPL-3.0,7
Rubygems/grenache-ruby-base,https://github.com/bitfinexcom/grenache-ruby-base,MIT,Apache-2.0,7
Rubygems/activerecord-pgbouncer,https://github.com/remind101/activerecord-pgbouncer,MIT,BSD-2-Clause,7
Rubygems/gaptool-api,https://github.com/Gild/gaptool-api,MIT,Apache-2.0,7
Rubygems/gaptool-server,https://github.com/Gild/gaptool-server,MIT,Apache-2.0,7
